,Data Set,Treatment,Model,Accuracy,AUC_ROC Score,Runtime Program
0,Mean,Untreated,Neural Network,0.988,0.9131733914940021,2.6695976694424948
0,Mean,Oversample,Neural Network,0.9515,0.9134714649218466,10.87549586693446
0,Mean,Untreated,Logistic Regression,0.8359578335150853,0.8359578335150853,0.8490665276845296
0,Mean,Oversample,Logistic Regression,0.7075,0.8379643765903309,40.80422626336416
0,Mean,Untreated,Decision Tree,0.981,0.8027117411850236,0.3699257771174113
0,Mean,Oversample,Decision Tree,0.84,0.881315885132679,1.5339606404304504
0,Mean,Untreated,K-NN,0.9825,0.8128825881497637,3.7156720757484436
0,Mean,Oversample,K-NN,0.666,0.7954998182479098,6.596481017271677
0,Mean,Untreated,Adaboost - Default Decision Tree,0.9805,0.8811704834605599,1.525620981057485
0,Mean,Oversample,Adaboost - Default Decision Tree,0.9755,0.8888186114140312,3.5267699082692463
0,PCA,Untreated,Neural Network,0.9825,0.7857797164667393,0.8346777995427449
0,PCA,Oversample,Neural Network,0.668,0.7635187204652853,5.075903948148092
0,PCA,Untreated,Logistic Regression,0.7561323155216285,0.7561323155216285,0.1858155926068624
0,PCA,Oversample,Logistic Regression,0.6295,0.7642602689930935,9.258578292528789
0,PCA,Untreated,Decision Tree,0.9815,0.6811123227917122,0.12454566160837809
0,PCA,Oversample,Decision Tree,0.4685,0.6747873500545256,0.31205637454986573
0,PCA,Untreated,K-NN,0.9825,0.7412649945474373,0.4875323573748271
0,PCA,Oversample,K-NN,0.656,0.7302726281352235,0.7411948680877686
0,PCA,Untreated,Adaboost - Default Decision Tree,0.982,0.7619629225736095,0.7246933778127035
0,PCA,Oversample,Adaboost - Default Decision Tree,0.9355,0.7224718284260269,1.1760788083076477
